38,4,10,1,Ph.D Botany,5 Years,x,0,admin,0
39,4,10,2,Msc(Botany),2 Years,x,0,admin,0
40,4,10,2,Msc(Zoology),2 Years,x,0,admin,0
41,4,10,3,Msc (Microbiology),2 Years,x,0,admin,0
42,4,10,3,BSC Medical,3 Years,x,0,admin,0
43,4,10,3,Bsc (Microbiology),3 Years,x,0,admin,0
44,4,10,3,BSC (Agriculture),4 Years,x,0,admin,0
45,4,10,3,BSC (Horticulture),4 Years,x,0,admin,0
46,5,12,4,D.Pharma,2 Years,x,0,admin,0
47,5,12,4,Diploma in MLT,3 Years,x,0,admin,0
48,5,12,4,Diploma in Dialysis Technology,3 Years,x,0,admin,0
49,5,12,4,Diploma in Rural Health Care,3 Years,x,0,admin,0
50,5,12,4,PG Diploma in Clinic Diagnostics,3 Years,x,0,admin,0
51,5,12,4,PG Diploma in Clinic Pathology & Diagnostics,3 Years,x,0,admin,0
52,5,12,3,B.Pharmacy,4 Years,x,0,admin,0
53,6,13,1,M.Phil Physics,2 Years,x,0,admin,0
54,6,13,1,M.Phil Chemistry,2 Years,x,0,admin,0
55,6,13,1,M.Phil Maths,2 Years,x,0,admin,0
56,6,13,1,Ph.D Chemistry,5 Years,x,0,admin,0
57,6,13,1,Ph.D Physics,5 Years,x,0,admin,0
58,6,13,1,Ph.D Math,5 Years,x,0,admin,0
59,6,13,2,Msc (Math),2 Years,x,0,admin,0
60,6,13,2,Msc(Physics),2 Years,x,0,admin,0
61,6,13,2,Msc(Chemistry),2 Years,x,0,admin,0
62,6,13,2,Msc(Pharmaceutical Chemistry),2 Years,x,0,admin,0
63,6,13,2,Msc (Applied Chemistry),2 Years,x,0,admin,0
64,6,13,3,BSC (Non-Medical),3 Years,x,0,admin,0
65,6,13,3,B.Voc Pharmaceutical Chemistry,3 Years,x,0,admin,0
66,7,15,4,Diploma in GST,6 Months,x,0,admin,0
67,7,15,4,Certificate in Fashion Design,6 Months,x,0,admin,0
68,7,15,4,"Certificate in Beauty,Skin and Hair",6 Months,x,0,admin,0
69,7,15,4,Certificate in Electroplanting,6 Months,x,0,admin,0
70,7,15,4,Certificate in Yoga & Therpy,6 Months,x,0,admin,0
71,7,15,4,Cabin Crew Training,6 Months,x,0,admin,0
72,7,15,4,Certificate in inflight Operation,6 Months,x,0,admin,0
73,7,15,4,Certificate in BPO,6 Months,x,0,admin,0
74,7,15,4,Diploma in House Wiring,6 Months,x,0,admin,0
75,7,15,4,"Diploma in Beauty Culture, Hair & Skin Care",6 Months,x,0,admin,0
76,7,15,4,Diploma in Computer Applications,6 Months,x,0,admin,0
77,7,15,4,Diploma Hardware Engineering,6 Months,x,0,admin,0
78,8,2,4,Diploma in Civil Engineering,3 Years,x,0,admin,0
79,8,5,4,Diploma in CSE,3 Years,x,0,admin,0
80,8,11,4,Diploma in Mechanical Engineering,3 Years,x,0,admin,0
81,8,5,1,Ph.D CSE,5 Years,x,0,admin,0
82,8,11,1,Ph.D Mechanical,5 Years,x,0,admin,0
83,8,11,1,Ph.D Electrical Engineering,5 Years,x,0,admin,0
84,8,2,2,M.Tech(Civil),2 Years,x,0,admin,0
85,8,5,2,M.Tech(CS),2 Years,x,0,admin,0
86,8,11,2,M.Tech(ME),2 Years,x,0,admin,0
87,8,2,3,B.Tech(Civil),4 Years,x,0,admin,0
88,8,5,3,B.Tech(CS),4 Years,x,0,admin,0
89,8,5,3,B.Tech(Data Science),4 Years,x,0,admin,0
90,8,5,3,B.Tech(Artificial Intelligence & Robotics),4 Years,x,0,admin,0
91,8,11,3,B.Tech(ME),4 Years,x,0,admin,0
92,9,16,4,Diploma in Food Production,1.5 Years,x,0,admin,0
93,9,16,4,Diploma in Food and Bevrage Services,1.5 Years,x,0,admin,0
94,9,16,4,Diploma in Bakery & Confectionary,1.5 Years,x,0,admin,0
95,9,16,4,Diploma in Front Office Operations,1.5 Years,x,0,admin,0
96,9,16,3,BHMCT,4 Years,x,0,admin,0
